station,valid,drct,sknt
ARB,2025-09-01 00:53,0.00,0.00
ARB,2025-09-01 01:53,0.00,0.00
ARB,2025-09-01 02:53,0.00,0.00
ARB,2025-09-01 03:33,0.00,0.00
ARB,2025-09-01 03:35,0.00,0.00
ARB,2025-09-01 03:46,0.00,0.00
ARB,2025-09-01 03:53,0.00,0.00
ARB,2025-09-01 04:01,0.00,0.00
ARB,2025-09-01 04:26,0.00,0.00
ARB,2025-09-01 04:53,0.00,0.00
ARB,2025-09-01 05:35,0.00,0.00
ARB,2025-09-01 05:38,0.00,0.00
ARB,2025-09-01 05:45,0.00,0.00
ARB,2025-09-01 05:47,0.00,0.00
ARB,2025-09-01 05:50,0.00,0.00
ARB,2025-09-01 05:53,0.00,0.00
ARB,2025-09-01 06:04,0.00,0.00
ARB,2025-09-01 06:09,0.00,0.00
ARB,2025-09-01 06:11,0.00,0.00
ARB,2025-09-01 06:18,0.00,0.00
ARB,2025-09-01 06:27,0.00,0.00
ARB,2025-09-01 06:29,0.00,0.00
ARB,2025-09-01 06:38,0.00,0.00
ARB,2025-09-01 06:43,0.00,0.00
ARB,2025-09-01 06:45,0.00,0.00
ARB,2025-09-01 06:53,0.00,0.00
ARB,2025-09-01 06:56,0.00,0.00
ARB,2025-09-01 06:59,0.00,0.00
ARB,2025-09-01 07:11,0.00,0.00
ARB,2025-09-01 07:13,0.00,0.00
ARB,2025-09-01 07:25,0.00,0.00
ARB,2025-09-01 07:27,0.00,0.00
ARB,2025-09-01 07:37,0.00,0.00
ARB,2025-09-01 07:40,0.00,0.00
ARB,2025-09-01 07:49,0.00,0.00
ARB,2025-09-01 07:53,0.00,0.00
ARB,2025-09-01 07:56,0.00,0.00
ARB,2025-09-01 08:05,0.00,0.00
ARB,2025-09-01 08:18,0.00,0.00
ARB,2025-09-01 08:23,0.00,0.00
ARB,2025-09-01 08:53,0.00,0.00
ARB,2025-09-01 08:59,0.00,0.00
ARB,2025-09-01 09:01,0.00,0.00
ARB,2025-09-01 09:08,0.00,0.00
ARB,2025-09-01 09:24,0.00,0.00
ARB,2025-09-01 09:27,0.00,0.00
ARB,2025-09-01 09:48,0.00,0.00
ARB,2025-09-01 09:50,0.00,0.00
ARB,2025-09-01 09:53,0.00,0.00
ARB,2025-09-01 09:55,0.00,0.00
